sentiment,category,source,title,description,content,url,publishedAt
Neutral,Israel Iran/Lebanon Conflict,Yahoo Entertainment,"Netanyahu Agrees to Limit Strike on Iran, Washington Post Reports",,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b0394421-af3d-46f9-a07a-05621dda9ca8,
Negative,Non-Governmental Opinion,Yahoo Entertainment,"'Squad' member calls Netanyahu a 'genocidal maniac,' sparking backlash from Israeli ambassador to the UN",,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_f92a758f-a011-41e4-9172-20bb4d3b6fd3,
Neutral,Israel Iran/Lebanon Conflict,International Business Times,Israel Strikes Lebanon After Netanyahu Vows No Mercy For Hezbollah,"Israel's military launched strikes Tuesday on eastern Lebanon, official Lebanese media reported, as Hezbollah fought Israeli soldiers after Prime Minister Benjamin Netanyahu vowed no mercy for the militant group.","Israel's military launched strikes Tuesday on eastern Lebanon, official Lebanese media reported, as Hezbollah fought Israeli soldiers after Prime Minister Benjamin Netanyahu vowed no mercy for the mi… [+5919 chars]",https://www.ibtimes.com/israel-strikes-lebanon-after-netanyahu-vows-no-mercy-hezbollah-3746697,
Neutral,Israel American Relations,Financial Post,Israel Says It Weighs US Views as Netanyahu Mulls Iran Response,"Israel said it is listening to US misgivings about its planned counter-strike against Iran but will act based on its own assessments, following a report suggesting Prime Minister Benjamin Netanyahu could spare Tehran’s nuclear and energy facilities from any i…","(Bloomberg) Israel said it is listening to US misgivings about its planned counter-strike against Iran but will act based on its own assessments, following a report suggesting Prime Minister Benjamin… [+1591 chars]",https://financialpost.com/pmn/business-pmn/israel-says-it-weighs-us-views-as-netanyahu-mulls-iran-response,
Neutral,Israel Iran/Lebanon Conflict,Biztoc.com,WAPO: Netanyahu Agrees to Limit Strike on Iran | Horizons Middle East & Africa 10/15/2024,The Washington Post reporting Prime Minister Benjamin Netanyahu has agreed to limit Israel's retaliation against Iran to military ...,"The Washington Post reporting Prime Minister Benjamin Netanyahu has agreed to limit Israel's retaliation against Iran to military ...  This story appeared on youtube.com, 2024-10-15.",https://biztoc.com/x/28ba1a11a7d7c724,
Neutral,Non-American Israel Relations,Biztoc.com,"Oil Prices Drop After Netanyahu Says Israel Will Attack Military, Not Oil Or Nuclear Targets In Iran","Oil Prices Drop After Netanyahu Says Israel Will Attack Military, Not Oil Or Nuclear Targets In Iran Benzinga Oil Drops Again as Iran’s Crude Supply Concerns Ease Bloomberg Oil slides 2% as OPEC lowers demand forecast, China stimulus lacks clarity Yahoo Finan…","Oil Prices Drop After Netanyahu Says Israel Will Attack Military, Not Oil Or Nuclear Targets In Iran BenzingaOil Drops Again as Irans Crude Supply Concerns Ease BloombergOil slides 2% as OPEC lowers … [+136 chars]",https://biztoc.com/x/a116908283f05720,
Neutral,Non-American Israel Relations,Biztoc.com,"Oil Prices Drop 2% As OPEC Cuts Forecast, Iran's Output Rises: Analyst Says Netanyahu May Doubt US Commitment To 'Restricting Iranian Exports'","Oil Prices Drop 2% As OPEC Cuts Forecast, Iran's Output Rises: Analyst Says Netanyahu May Doubt US Commitment To 'Restricting Iranian Exports' Benzinga Oil Drops at Open on Report Israel Won’t Attack Iranian Crude Bloomberg U.S. crude oil prices fall more tha…","Oil Prices Drop 2% As OPEC Cuts Forecast, Iran's Output Rises: Analyst Says Netanyahu May Doubt US Commitment To 'Restricting Iranian Exports' BenzingaOil Drops at Open on Report Israel Wont Attack I… [+136 chars]",https://biztoc.com/x/1ad378b4ef29dd62,
Neutral,Israel Iran/Lebanon Conflict,Freerepublic.com,Ministers livid over halt in strikes in Beirut: We will demand answers from Netanyahu,"he Israel Air Force has not struck Beirut in the last four days, at the direction of the political echelon. Kan 11 News reported on Monday evening that the instruction was delivered in writing on Friday morning, after the unusual strike in western Beirut, in …",Skip to comments.  Ministers livid over halt in strikes in Beirut: We will demand answers from NetanyahuArutz Sheva ^   | 14/10/24  Posted on 10/15/2024 12:15:00 AM PDT by Eleutheria5  he Israel Air … [+1967 chars],https://freerepublic.com/focus/f-news/4271079/posts,
Neutral,Israel Iran/Lebanon Conflict,Freerepublic.com,"Report: Israel to Target Iran’s Military; Netanyahu Agrees Not to Hit Oil, Nuclear",Israeli Prime Minister Benjamin Netanyahu has reportedly agreed to a demand by U.S. President Joe Biden that Israel will not attack Iran’s oil facilities or nuclear sites in retaliation for a ballistic missile attack earlier this month. As Breitbart News repo…,"Skip to comments.  Report: Israel to Target Irans Military; Netanyahu Agrees Not to Hit Oil, NuclearBreitbart ^   | 10/14/2024   | JOEL B. POLLAK  Posted on 10/14/2024 6:23:41 PM PDT by ChicagoConser… [+2747 chars]",https://freerepublic.com/focus/f-news/4271058/posts,
Neutral,Israel Iran/Lebanon Conflict,Haaretz,Report: Netanyahu Says Israel Will Strike Iranian Military Targets Before Nov. 5 Election,"IDF soldier killed in Gaza; Three rockets fired from Lebanon at central Israel, Tel Aviv ■ Protesters target NYSE, calling for weapons embargo on Israel, cease-fire in Gaza ■ U.S. State Department urges U.S. citizens in Lebanon to leave immediately ■ Israeli …","Here are the lates updates for day 374 of the war:   The IDF announced on Monday that Sergeant Koren Bitan,19, was killed while fighting in southern Gaza   Israeli authorities say 30 trucks carried a… [+2109 chars]",https://www.haaretz.com/israel-news/2024-10-15/ty-article-live/report-netanyahu-says-israel-will-strike-iranian-military-targets-before-nov-5-election/00000192-8dc5-d9c2-a7f3-8dc7ae060000,
