sentiment,category,source,title,description,content,url,publishedAt
,,Haaretz,Netanyahu boasts of Israel's military gains at sparsely attended Oct. 7 memorial ceremonies,Israel's defense minister said at the official ceremony in memory of fallen Israeli soldiers that 'Not every goal can be reached with just military action. Force is not everything',"The weekend was especially packed and busy at the Mount Herzl Military Cemetery in Jerusalem. On Friday, funerals for fallen soldiers were held one after another until the Shabbat began, and then thr… [+242 chars]",https://www.haaretz.com/israel-news/2024-10-27/ty-article/.premium/netanyahu-boasts-of-israels-military-gains-at-sparsely-attended-oct-7-memorial-events/00000192-cf9e-d628-a9df-ffde4d060000,
,,Haaretz,"Israeli ministers visit Gaza border community attacked by Hamas on Oct. 7, absent Netanyahu","'Netanyahu and Sinwar are the same to me': Israeli government ministers participated in a tour of Kibbutz Nir Oz, which was hard hit in the October 7 Hamas attack. PM Netanyahu did not respond to the invitation","'Netanyahu and Sinwar are the same to me': Israeli government ministers participated in a tour of Kibbutz Nir Oz, which was hard hit in the October 7 Hamas attack. PM Netanyahu did not respond to the… [+10 chars]",https://www.haaretz.com/israel-news/2024-10-27/ty-article/.premium/israeli-ministers-visit-gaza-border-kibbutz-stormed-by-hamas-on-oct-7-absent-netanyahu/00000192-cf17-d282-a1bb-fff778860000,
,,Haaretz,"Defense Minister Gallant tells Netanyahu: Israel is conducting war without a compass, needs new war goals","In a letter sent to Netanyahu and Israel's security cabinet, Gallant said 'the current situation in which we operate harms the management of the campaign and the cabinet's decisions.' He proposed four new war objectives, including the need for 'an alternative…","In a letter sent to Netanyahu and Israel's security cabinet, Gallant said 'the current situation in which we operate harms the management of the campaign and the cabinet's decisions.' He proposed fou… [+82 chars]",https://www.haaretz.com/israel-news/2024-10-27/ty-article/.premium/gallant-tells-netanyahu-israel-is-conducting-war-without-a-compass-needs-new-war-goals/00000192-cf80-d6a0-affe-cfa7ac780000,
,,Lewrockwell.com,A Stunning De-Capitation? The Netanyahu “Madness”,All the war “games” played over successive years have resulted in America losing. A major war between Israel and Iran is soon likely to erupt – so says Israel’s Defence Minister Gallant. It will be initiated when Israel launches its long mooted strike on Iran…,All the war games played over successive years have resulted in America losing.  A major war between Israel and Iran is soon likely to erupt so says Israels Defence Minister Gallant. It will be initi… [+6452 chars],https://www.lewrockwell.com/2024/10/no_author/a-stunning-de-capitation-the-netanyahu-madness/,
,,ABC News,International prosecutor who charged Netanyahu vows to cooperate with sex misconduct investigation,The International Criminal Court’s top prosecutor has called for an internal investigation into allegations he tried to coerce a female aide into a sexual relationship,"THE HAGUE, Netherlands -- The International Criminal Courts top prosecutor has called for an internal investigation into allegations he tried to coerce a female aide into a sexual relationship and gr… [+2683 chars]",https://abcnews.go.com/International/wireStory/international-prosecutor-charged-netanyahu-vows-cooperate-sex-misconduct-115228122,
,,Biztoc.com,Israel's Netanyahu Says Iran Airstrikes Achieved All Goals,"Israel said its military “completed precise and targeted strikes against military targets in a number of areas in Iran,” adding that its warplanes returned to their bases. The Israel Defense Forces said the airstrikes on the Islamic Republic were “in response…","Israel said its military completed precise and targeted strikes against military targets in a number of areas in Iran, adding that its warplanes returned to their bases.The Israel Defense Forces said… [+135 chars]",https://biztoc.com/x/b1a3e6ff1f8c9bd7,
,,Investing.com,Netanyahu: Israel did not receive a proposal for the release of 4 hostages,Netanyahu: Israel did not receive a proposal for the release of 4 hostages,JERUSALEM (Reuters) - Israeli Prime Minister Benjamin Netanyahu said on Monday that Israel did not receive a proposal that would include the release of four hostages in return for a 48-hour ceasefire… [+139 chars],https://www.investing.com/news/world-news/netanyahu-israel-did-not-receive-a-proposal-for-the-release-of-4-hostages-3686830,
,,Freerepublic.com,Victor Davis Hanson: The Ordeal and Triumph of Mr. Netanyahu,"Netanyahu's actions have neutralized more Western adversaries responsible for decades of bloodshed than NATO, the CIA, FBI, or Interpol, combined, yet he’s often met with rebuke rather than gratitude. OrdealAfter the October 7 massacres, the obituaries of the…","Skip to comments.  Victor Davis Hanson: The Ordeal and Triumph of Mr. NetanyahuAmerican Greatness ^   | 28 Oct, 2024   | Victor Davis Hanson  Posted on 10/28/2024 6:39:48 AM PDT by MtnClimber  Netany… [+7316 chars]",https://freerepublic.com/focus/f-news/4273972/posts,
,,Haaretz,Benjamin Netanyahu is campaigning to persuade Israelis to forget about the hostages,"My friend Omri Miran – a father of two young girls who was kidnapped on October 7 – remains in Gaza, while we wait for the urgency of his release to overcome the cynical political calculations of Israel's prime minister","Exactly six months ago, a video was released by Hamas showing my friend Omri Miran, a 47-year-old father of two young girls who was kidnapped on October 7 right in front of his daughters. The video s… [+93 chars]",https://www.haaretz.com/israel-news/haaretz-today/2024-10-28/ty-article/.highlight/benjamin-netanyahu-is-campaigning-to-persuade-israelis-to-forget-about-the-hostages/00000192-d3ec-df2b-a5db-d7fcfc310000,
,,Haaretz,Netanyahu seeks state funds to renovate Caesarea villa after Hezbollah drone attack,"Despite his office denying the report, Netanyahu has previously used state funds to reinforce his personal residence. In the attack, one drone struck the residence, damaging a window and leaving a crater on the property. No one was home during the strike","The Prime Minister's Office is seeking two million shekels (roughly $530,000) to further reinforce Prime Minister Benjamin Netanyahu's private residence in Caesarea, central Israel, against rockets a… [+67 chars]",https://www.haaretz.com/israel-news/2024-10-28/ty-article/.premium/netanyahu-seeks-state-funds-to-renovate-caesarea-villa-after-hezbollah-drone-attack/00000192-d30c-d1fc-a7ba-fb0ee3690000,
