source,title,description,content,url,publishedAt
BBC News,No guarantees Trump will give Netanyahu all he wants,"Trump's win has been welcomed by Israel but it's unclear what he will deliver, writes Lucy Williamson.","The bar facing the US consulate in Jerusalem is called Deja Bu - a witty reference to something youve drunk before.  And outside the gates of the US compound, Israel is eager for a second round of Do… [+4748 chars]",https://www.bbc.com/news/articles/cq6lm62vm7zo,
Yahoo Entertainment,Netanyahu says Iran's government fears its people more than Israel,,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a3d35f9e-b6ba-4a8c-9633-4975284ed77f,
NPR,"Netanyahu could take steps to end wars after Trump's win, Middle East officials say",Officials throughout the Middle East welcomed Donald Trump’s victory — amid anticipation and anxiety across the region over how he could change the course of the wars raging from Gaza to Lebanon and beyond.,"TEL AVIV, Israel Congratulations on historys greatest comeback! Israeli Prime Minister Benjamin Netanyahu tweeted.  Officials throughout the Middle East welcomed Donald Trumps victory amid anticipati… [+2219 chars]",https://www.npr.org/2024/11/06/g-s1-33019/netanyahu-could-take-steps-to-end-wars-with-trumps-win-middle-east-officials-say,
The Atlantic,Why Netanyahu Fired His Defense Minister,The Israeli prime minister faces a dilemma that Yoav Gallant’s departure won’t solve.,"On Tuesday evening, a political earthquake shook Israel: In the midst of war, Prime Minister Benjamin Netanyahu dismissed his defense minister, Yoav Gallant.The quake was inevitable, even if the timi… [+6287 chars]",https://www.theatlantic.com/international/archive/2024/11/israel-cabinet-coalition-change/680583/,
Yahoo Entertainment,"Huddled with his generals deep in the night, Benjamin Netanyahu finally hit the button",It was just after 2.15am when Iranians woke to the sounds of explosions and the first plumes of smoke began to rise near the capital.,"It was just after 2.15am when Iranians woke to the sounds of explosions and the first plumes of smoke began to rise near the capital.  After weeks of speculation, leaks and fierce battles against Ira… [+6418 chars]",https://uk.news.yahoo.com/huddled-generals-deep-night-benjamin-093100868.html,
Yahoo Entertainment,Israel investigates leaks that appear to have bolstered Netanyahu as Gaza truce talks stalled \,An Israeli court on Sunday was considering whether to lift a gag order on a case surrounding suspected leaks of classified information from an associate of...,Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways  T… [+4966 chars],https://www.yahoo.com/news/israel-investigates-leaks-appear-bolstered-150121079.html,
Time,"Netanyahu Says He and Trump ‘See Eye to Eye,’ as Israel Bombards Lebanon and Gaza",Netanyahu said he’s spoken three times with Trump since the election and that they “see eye-to-eye regarding the Iranian threat and all of its components.”,"DEIR AL-BALAH, Gaza Strip Israeli strikes killed dozens of people including children on Sunday in Lebanon and isolated northern Gaza, as the world watched for signs of how the U.S. election might aff… [+6078 chars]",https://time.com/7174795/netanyahu-trump-israel-airstrikes-lebanon-gaza/,
BBC News,Israel's Netanyahu shows who calls the shots with Gallant sacking,The PM's decision to replace his defence minister follows sharp disagreements over Israel's war strategy.,Benjamin Netanyahu (R) said trust had cracked between him and Yoav Gallant (L)  Weve known for months that there is no love lost between Israeli Prime Minister Benjamin Netanyahu and his now former D… [+4573 chars],https://www.bbc.com/news/articles/clyvl72zdzqo,
BBC News,"Netanyahu aide leaks may have torpedoed hostage deal, court says",A top Netanyahu aide was among those arrested and investigated over leaked and falsified documents.,"Attempts to secure a peace deal in Gaza and secure the release of hostages held by Hamas may have been compromised by leaked and falsified documents involving a close aide to the prime minister, an I… [+4377 chars]",https://www.bbc.com/news/articles/cd9n02xxexko,
Yahoo Entertainment,Netanyahu: UN peacekeepers must 'immediately' depart southern Lebanon,"Israeli Prime Minister Benjamin Netanyahu said on Sunday that UN peacekeeping troops must ""immediately"" withdraw from the combat zone in southern Lebanon...","Israeli Prime Minister Benjamin Netanyahu said on Sunday that UN peacekeeping troops must ""immediately"" withdraw from the combat zone in southern Lebanon.  Five members of the multinational peacekeep… [+3738 chars]",https://www.yahoo.com/news/netanyahu-un-peacekeepers-must-immediately-144833969.html,
